school_name,community_name,community_population,distance_km
Uptown School,SAIH AL SALAM,607,122.71410498797866
Bradenton Preparatory Academy,WADI AL SAFA 2,10519,110.55847871702707
The Indian International School,AL MURQABAT,69771,11.456138598822093
Jebel Ali Primary School,AL GOZE FIRST,20154,70.35057292818706
Nord Anglia International School Dubai,AL MANKHOOL,40091,48.82938416371411
The Indian High School,MUHAISANAH FOURTH,34947,12.549433424428598
Grammar School,HOR AL ANZ EAST,21218,9.972370918699019
Dubai English Speaking School,RAS AL KHOR IND. THIRD,21834,79.74112944013972
Swiss International Scientifc School ,AL MEZHAR FIRST,16552,15.427534029365408
JSS International School,PORT SAEED,13551,23.506549078427714
Lycee Georges Pompidou Primary School,AL WASL,11555,37.63815978133826
Dubai International Academy,MENA JABAL ALI,24487,97.14485843710408
International School of Arts and Sciences,AL GOZE IND. FIRST ,26075,46.15600037014807
The Central School,AL THANYAH SECOND (JEBEL ALI HORSE RACING),115,44.55990780850807
Adab Iranian Private School - Girls,AL YALAYIS 4,8,116.52058821114326
Foremarke School,MUHAISANAH FIRST,8091,29.67736238127902
Pakistan Education Academy,UM HURAIR FIRST,5856,24.915660147774265
Kings' Al Barsha,SAIH AL SALAM,607,144.15959250474228
North American International School,BURJ KHALIFA,20477,16.446767988229205
GEMS Wellington Academy - Al Khail,AL HEBIAH THIRD,6845,107.14263280996047
The Westminster School,UM HURAIR SECOND,5328,18.857881852169164
Dubai Gem Private School,CORNICHE DEIRA,14,3.977176034492772
Our Own High School - Dubai,UM HURAIR SECOND,5328,27.23668189833132
Swiss International Scientifc School ,TRADE CENTER FIRST,16519,35.869284117437545
GEMS Wellington Academy - Al Khail,ZAABEEL SECOND,8102,50.4957289900283
Al Eman Private School,AL TTAY,810,19.942186979027692
Jumeirah College,LEHBAB FIRST,3197,111.26321743425896
Russian International School,AL GARHOUD,18535,13.993041894809034
GEMS Wellington Academy - Al Khail,AL MEZHAR SECOND,11317,29.11549091099189
Al Ittihad Private School - Al Mamzar,HESSYAN FIRST,3492,58.58204007400979
Dubai National School - Al Twar,ENKHALI,26,92.44464841493748
Dubai International School - Al Quoz,UMM NAHAD SECOND,2,124.25713870956113
Al Ittihad Private School - Al Mamzar,UMM AL DAMAN,283,99.72298931188719
Oasis School,AL HUDAIBA,14191,39.8537699635299
GEMS Our Own English High School,AL HEBIAH FOURTH,20611,92.12754055025927
Safa Community School,MUHAISANAH FIRST,8091,31.266059352800742
Our Own High School - Dubai,MUHAISANAH FIFTH,2,17.030909021913764
New Indian Model School,AL AWEER TWO,5236,96.66381551040826
Nord Anglia International School Dubai,RAS AL KHOR IND. SECOND,2514,100.03483089750922
Adab Iranian Private School - Boys,JUMEIRA ISLAND 2,3,12.657649542565114
Japanese School in Dubai,AL LAYAN 2,0,141.5696773025309
The Philippine School,MUHAISANAH FOURTH,34947,10.517527343436502
Al Ittihad Private School - Jumeirah,AL KHAIRAN FIRST,587,67.91451855402909
Dubai National School - Al Barsha,SAIH SHUAIB 4,11170,90.80557091554635
Little Flowers English School,JUMEIRA BAY,39,10.865387594562868
Dubai National School - Al Barsha,RAS AL KHOR IND. FIRST,2550,97.53601957366516
Al Safa Private School,YARAAH,94,123.62731571140353
The Central School,JABAL ALI THIRD,1513,65.4792331442284
Regent International School,AL JADAF,5104,54.72497971661583
Sabari Indian School ,AL WAJEHAH AL BHARIYAH,4,58.89086064040733
GEMS Dubai American Academy,BURJ KHALIFA,20477,11.393807423401395
Dubai Carmel School,AL TWAR THIRD,10655,7.8576638189813055
Gulf Model School,AL QUSAIS IND. SECOND,8834,7.1551706417063485
Repton School Dubai,AL ROWAIYAH FIRST,3127,108.17413209097629
Safa Community School,RAS AL KHOR IND. FIRST,2550,98.059169465445
Emirates International School - Jumeirah,AL SAFOUH FIRST,4435,67.08375702302853
Dubai International Academy,TRADE CENTER FIRST,16519,57.53668344977564
Al Sadiq Islamic English School,AL KHEERAN,4982,49.98087696945722
Ambassador Kindergarten,AL QUSAIS IND. THIRD,2710,8.729874058541133
GEMS New Millennium School ,ABU HAIL,17240,16.287756920380716
Raffles World Academy,ABU HAIL,17240,20.780854090758
St Mary High Catholic School -branch,AL TTAY,810,14.088942905281964
Al Ameen Private School,AL LAYAN 2,0,125.12186722242515
Dubai National School - Al Barsha,AL MANARA,8271,64.62961649330705
GEMS Wellington International School,MARGAB,628,132.08175462883898
Latifa School for Girls,JABAL ALI  SECOND,1570,80.38912517872399
Deira International School,UMM ESELAY,204,109.82007246377513
Lycee Georges Pompidou Primary School,UMM AL DAMAN,283,107.14906409967895
GEMS Royal Dubai School,AL HEBIAH FIFTH,9748,88.17967202825048
Lycee Georges Pompidou Primary School,AL JADAF,5104,33.16211195900003
Al Mizhar American Academy Private School for Girls,ME'AISEM SECOND,12,90.12760407990011
Ranches Primary School ,AL BARSHA SOUTH THIRD,6929,11.462638852114171
The Winchester School,AL MEZHAR FIRST,16552,43.52294983224173
Dovecote Green Primary ,AL KHBEESI,1992,33.44417917202953
Kings' Dubai,MEREIYEEL,1119,122.50172794248637
Philadelphia Private School,WADI AL SAFA 2,10519,78.37680072265476
Star International School - Al Twar,SAIH SHUA'ALAH,3,125.19054387746343
Greenfield Community School,LEHBAB SECOND,1511,138.7486590460368
GEMS Wellington Primary School,OUD METHA,14901,33.395604587142785
St Mary High Catholic School -branch,AL WARQAA FIRST,24679,50.33906099388431
International Academic School,AL MAHA,193,109.68334585743246
Jumeirah English Speaking School - Arabian Ranches,MARGAB,628,131.3062336435114
The Winchester School,TRADE CENTER FIRST,16519,64.46676558410977
Sheikh Rashid Bin Saeed Islamic Institute,WARSAN FOURTH,8994,90.00873076477394
Gulf Model School,WARSAN THIRD,13579,93.83288558582441
Dubai College,AL WARQAA THIRD,14728,81.57927405594009
Our Own High School - Dubai,AL AWEER TWO,5236,97.56411912341548
The Children's Garden,AL TTAY,810,41.4315498570009
Dubai International School - Al Garhoud,UM RAMOOL,2935,15.162709968369848
Arab Unity School,UM SUQAIM FIRST,11718,35.99220503495284
Kings Nad Al Sheba,ENKHALI,26,103.00475754936194
GEMS FirstPoint School,MUHAISANAH SECOND ,196316,26.506473523914106
Al Eman Private School,HOR AL ANZ EAST,21218,6.985119759739105
Islamic School for Education and Training,AL KHAWANEEJ TWO,4523,15.75689239256257
Dar Al Marefa Private School,RAS AL KHOR,2,51.88709700736374
Bilva Indian School ,AL GOZE FOURTH,22718,37.4025970174839
Our Own High School - Dubai,DUBAI  AIRPORT,22,7.769323223811615
Al Mawakeb School - Al Garhoud,AL YUFRAH 3,4,117.06028055128199
Cambridge International School,JUMEIRA SECOND,10079,8.761754918059049
The Indian High School - Branch,AL SAFOUH FIRST,4435,48.27335300954486
Dubai Women's College High School,AL TTAY,810,14.729948339629173
Dubai British School - Jumairah Park ,LE HEMAIRA,53,93.77279679205067
Greenwood International School,WADI AL SAFA 2,10519,80.53779835109337
Salman Al Farsi Iranian School,UMM AL MO'MENEEN,309,101.90603096548338
Al Safa Private School,AL QUSAIS IND. THIRD,2710,18.138471698510045
National Charity School,WARSAN FOURTH,8994,83.1640235048522
Springdales School,MARSA DUBAI (AL MINA AL SEYAHI) ,61047,66.07268116349634
Al Maaref Private School,MEREIYEEL,1119,98.58029583726044
GEMS FirstPoint School,OUD AL MUTEEN THIRD ,6679,31.099390084421877
Dubai Modern Education School,GHADEER BARASHY,7,122.1371045536022
Deira International School,MUHAISANAH FIFTH,2,14.53361754488623
Pakistan Education Academy,GHADEER BARASHY,7,128.80952892942992
The Philippine School,AL SELAL,665,122.92290334134128
The Oxford School,MUSHRAIF,67,10.894859987281373
Collegiate American School,AL KHAIRAN FIRST,587,72.63770738206266
The Philippine School,AL AWEER TWO,5236,93.10083055025741
Dubai British School,NAD AL SHIBBA THIRD,767,106.39353901179834
St. Mary's Catholic High School,AL AWEER ONE,4107,97.51000008881068
Queen International School,SAIH AL SALAM,607,121.01108705177765
Horizon International Schoool,MADINAT AL MATAAR,2697,85.55043832111087
International School of Arts and Sciences,JABAL ALI INDUSTRIAL THIRD,2462,67.28699879537652
Delhi Private School Academy,AL SAFFA FIRST,8514,48.46477245032173
GEMS World Academy,LEHBAB FIRST,3197,120.35723295200961
The Elite English School,WARSAN THIRD,13579,97.1627635828086
Delhi Private School Academy,AL BARSHA SOUTH SECOND,7509,20.206998550970663
Jumeirah College,AL GOZE FIRST,20154,50.65835928763499
Emirates English Speaking School,NAD AL HAMAR,14216,68.88185552228823
The School of Research Science,JABAL ALI  SECOND,1570,69.47053916113582
K12 International Academy,AL HAMRIYA PORT,481,27.433728235527
GEMS Wellington Primary School,AL THANYAH FOURTH (EMIRATE HILLS THIRD) ,27728,61.08812923454479
