school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,total_healthcare_facilities,nearest_metro_station,nearest_metro_distance_km,metro_within_1km,metro_within_2km,metro_within_5km,total_metro_stations,hospitals_within_5km,clinics_within_5km,pharmacies_within_5km,food_venues_within_5km,shopping_venues_within_5km,entertainment_venues_within_5km,accessibility_score,healthcare_accessibility_score,metro_accessibility_score,overall_urban_score,nearest_community,nearest_community_distance_km,nearest_community_population,communities_within_1km,communities_within_2km,communities_within_5km,population_within_1km,population_within_2km,population_within_5km,avg_distance_to_communities_km,community_accessibility_score,community_density_score,overall_community_score
Jebel Ali Primary School,Jebel Ali,25.034761,55.117981,KG1-G5,626.0,1978.0,UK,Delhi Private School,General Practice,0.6148684374213508,8,20,114,2312,Ibn Battuta,1.3312140484439103,0,30,100,540,0,7,1,10,10,10,1.0446758040348865,0.492,1.198,0.986,AL BARSHAA FIRST,12.1773303229198,39451,0,0,0,0,0,0,83.8318848796097,5.0,1.0,3.4
JSS International School,Al Barsha ,25.075028,55.215356,KG1-G12,1783.0,2009.0,Indian(ICSE),GEMS WORLD ACADEMY NURSERY LLC,General Practice,0.7814895207227562,4,12,185,2312,Mashreq,5.06130322341543,0,0,0,540,0,11,2,0,0,0,3.34937774233836,0.625,5.061,0.479,AL BARSHAA FIRST,4.497962383406415,39451,0,0,8,0,0,131088,74.33519997218475,4.0,2.0,3.2
JSS Private School,Al Safa,25.191845,55.252894,KG1-G11,1898.0,2011.0,Indian(CBSE),Jss Private School,General Practice,0.0325947771747368,23,132,498,2312,Business Bay,0.7597668635049464,10,20,60,540,0,30,5,6,6,6,0.4688980289728625,0.026,0.608,1.108,BURJ KHALIFA,2.244295349544454,20477,0,0,8,0,0,88826,62.786776799227994,4.0,1.0,2.8
Jumeira Baccalaureate School,Jumeirah First,25.218637,55.259723,KG1-G12,823.0,2010.0,UK/IB,Jumeira Baccalaureate School-Br Of Taaleem Managment L.L.C,Nursing,0.1269203739844122,82,175,487,2312,Financial Centre,1.8061804288246832,0,10,70,540,0,43,7,7,7,7,1.1344764068885749,0.102,1.626,0.978,JUMEIRA BAY,1.8997715280050858,39,0,7,8,0,68349,88826,60.562812062547856,2.7,3.0,2.8200000000000003
Jumeirah College,Al Safa ,25.176394,55.235789,G6-G12,1110.0,2000.0,UK,Gems Jumeira Primary School,General Practice,0.2487582085613119,37,106,453,2312,Noor Bank,2.4120268177629063,0,0,30,540,0,20,6,3,3,3,1.546719374082269,0.199,2.412,0.901,BURJ KHALIFA,4.521817574016454,20477,0,0,8,0,0,88826,64.98762934669553,4.0,1.0,2.8
Jumeirah English Speaking School,Al Safa ,25.179742,55.243147,FS1-G5,698.0,1976.0,UK,Jumeirah English Speaking School,Nursing,0.0687699865199765,36,111,457,2312,Business Bay,2.1598331720278243,0,0,40,540,0,21,5,4,4,4,1.323407897824685,0.055,2.16,0.938,BURJ KHALIFA,3.6956384732921976,20477,0,0,8,0,0,88826,64.27602259720635,4.0,1.0,2.8
Jumeirah English Speaking School - Arabian Ranches,Arabian Ranches,25.056689,55.272661,FS1-G12,1370.0,2005.0,UK/IB,Jumeirah English Speaking School(Al Marabaa Al Rabaia),Family Medicine,0.0746299450847198,2,2,64,2312,FGB,10.157475928187774,0,0,0,540,0,1,1,0,0,0,6.124337534946552,0.06,10.157,0.407,AL BARSHAA FIRST,9.530365814742986,39451,0,0,0,0,0,0,73.15517749910526,5.0,1.0,3.4
K12 International Academy,Knowledge Village,25.101772,55.160615,KG2-G12,344.0,2008.0,US,Smart Salem Medical Center 3 FZ LLC,Family Medicine,0.0060307747478722,8,44,276,2312,Dubai Internet City,1.3262598962158048,0,20,60,540,0,20,3,6,6,6,0.7981682476286317,0.005,1.194,1.041,AL BARSHAA FIRST,4.360017269151285,39451,0,0,8,0,0,131088,75.52160389427614,4.0,2.0,3.2
Khadija Al Kobra Iranian School for Girls,Al Karama,25.252825,55.307217,G1-G12,395.0,2000.0,Iranian,Iranian Towheed Girls School,Nursing,0.0681471915698014,63,193,664,2312,BurJuman,0.3739925677797262,10,60,220,540,0,59,16,22,22,22,0.2516544172957563,0.055,0.299,1.152,AL TWAR FIRST,1.128375922343991,11509,0,8,18,0,124776,404306,55.61718424326616,2.7,3.0,2.8200000000000003
Kings' Dubai,Umm Suqeim,25.135958,55.196242,FS1-G7,866.0,2004.0,UK,Dubai Kings Private School,Nursing,0.0584128441620055,48,123,354,2312,FGB,1.559390479947892,0,20,50,540,0,14,7,5,5,5,0.9589994256335376,0.047,1.403,1.001,AL BARSHAA FIRST,2.5505166700628283,39451,0,0,8,0,0,131088,70.48162154923183,4.0,2.0,3.2
Latifa School for Girls,Nad Al Sheba,25.149325,55.326118,KG1-G12,626.0,1982.0,UK,Al Futtaim Healthcare Single Person Company LLC - Company Clinic,General Practice,1.1213201141103462,0,2,16,2312,Creek,7.8488139640607715,0,0,0,540,0,0,0,0,0,0,5.157816424080601,1.009,7.849,0.355,BURJ KHALIFA,7.444936651696634,20477,0,0,0,0,0,0,62.48506219286205,5.0,1.0,3.4
Little Flowers English School,Hor Al Anz,25.282439,55.336397,KG1-G6,947.0,1984.0,Indian(CBSE),Little Flower English School,Nursing,0.4390721412316529,11,52,414,2312,Abu Hail,1.2749421057978891,0,30,190,540,0,24,6,19,19,19,0.9405941199713947,0.351,1.147,1.029,AL QUSAIS SECOND,1.083952707200253,12473,0,5,24,0,136597,426245,52.63378761988167,2.7,3.0,2.8200000000000003
Lycee Francais International School,Dubai Academic City,25.241403,55.312731,KG1-G12,1948.0,2005.0,French,French International Private School,Nursing,0.0549940281367447,58,224,682,2312,Oud Metha,0.4106542812877484,10,40,220,540,0,58,16,22,22,22,0.2683901800273469,0.044,0.329,1.149,AYAL NASIR,2.0962920551648447,19280,0,0,18,0,0,391847,56.02397988452127,4.0,2.0,3.2
Lycee Georges Pompidou High School,Dubai Academic City,25.104978,55.395858,G1-G12,1756.0,2005.0,French,Lycee Francais International Georges Pompidou,General Practice,0.0441666466366001,4,29,65,2312,Creek,13.90700548984606,0,0,0,540,0,2,0,0,0,0,8.361869952562277,0.035,13.907,0.418,AL GARHOUD,8.400446035763753,18535,0,0,0,0,0,0,64.40652626768434,5.0,1.0,3.4
Lycee Georges Pompidou Primary School,Oud Metha,25.233711,55.316025,KG1-KG2,252.0,1998.0,French,Lycee Francais International Georges Pompidou Om,Nursing,0.0833402448642494,103,182,677,2312,Dubai Health Care,0.7557114223252812,10,20,230,540,0,58,16,23,23,23,0.4867629513408684,0.067,0.605,1.106,AYAL NASIR,2.5340398691540535,19280,0,0,17,0,0,369202,56.3564111455188,4.0,2.0,3.2
Lycee Libanais Francophone Prive,Al Muhaisnah,25.275092,55.410419,KG1-G12,962.0,2004.0,French,United International Pvt. School,Nursing,0.3526896213822973,9,27,161,2312,Etisalat,2.44630168024941,0,0,50,540,0,4,3,5,5,5,1.6088568567025652,0.282,2.446,0.782,DUBAI  AIRPORT,5.145324047522442,22,0,0,0,0,0,0,50.735057388464526,5.0,1.0,3.4
Mirdif Private School,Al Mizhar,25.237383,55.437061,KG1-G9,747.0,1995.0,US,Healthhub Plus (Br of Al Futtaim Healthcare Single Person Company LLC),Family Medicine,0.0918791285597498,23,50,110,2312,Etisalat,4.111135236351522,0,0,20,540,0,1,1,2,2,2,2.503432793234813,0.074,4.111,0.533,AL KHBEESI,5.532566790517318,1992,0,0,0,0,0,0,52.66473136890151,5.0,1.0,3.4
National Charity School,Al Garhoud,25.238522,55.345831,G1-G12,5333.0,1984.0,MOE,National Charity School Boys,General Practice,0.0765986584103651,21,65,504,2312,Airport Terminal 1,1.2883140641294868,0,40,220,540,0,33,13,22,22,22,0.8036279018418381,0.061,1.159,1.042,AL REGA,0.31152902566750296,10480,2,5,13,60570,124301,273491,54.70522225674709,1.0,5.0,2.6
New Academy School,Al Raffa,25.250636,55.284283,KG1-G12,995.0,1990.0,US,New Academy School,General Practice,0.036568052945983,19,165,695,2312,Abu Dhabi Commercial Bank,1.5570654124528451,0,30,170,540,0,52,13,17,17,17,0.9488664686501004,0.029,1.401,1.012,AL TWAR FIRST,1.5899841131101695,11509,0,2,13,0,86575,246636,57.115413124266205,3.0,3.0,3.0
New Indian Model School,Al Garhoud,25.237008,55.347017,KG1-G12,6973.0,1980.0,Indian(CBSE),New Indian Model School Clinic,General Practice,0.0628856929254178,16,62,485,2312,Airport Terminal 1,1.3833994219144508,0,50,220,540,0,33,13,22,22,22,0.8551939303188376,0.05,1.245,1.031,AL REGA,0.28307248232030835,10480,3,5,13,60584,124301,273491,54.75914311655266,1.0,5.0,2.6
New World Private School,Al Twar ,25.265406,55.374644,KG1-G12,1854.0,2005.0,MOE,Mnm Optics Llc Branch,Optometry,0.3317134697170045,20,45,313,2312,Dubai Airport Free Zone,0.5042431372657136,10,40,140,540,0,18,6,14,14,14,0.43523127024623,0.265,0.403,1.126,DUBAI  AIRPORT,1.6542639468069937,22,0,1,8,0,22,189788,52.13416374912985,3.0,2.0,2.5999999999999996
Nibras International School,Green Community,25.000017,55.171757,KG1-G12,854.0,2005.0,US,Al Nibras Private School,General Practice,0.0595808166933058,7,15,64,2312,Station R74,1.7278629398541063,0,10,60,540,0,2,1,6,6,6,1.0605500905897862,0.048,1.555,0.87,AL BARSHAA FIRST,12.989702417654982,39451,0,0,0,0,0,0,83.54771429831,5.0,1.0,3.4
North American International School,Al Mizhar,25.236083,55.432139,KG1-G12,499.0,2007.0,US,North American International School L.L.C,General Practice,0.0743612822826409,28,54,113,2312,Etisalat,3.759992806134584,0,0,20,540,0,1,1,2,2,2,2.285740196593807,0.059,3.76,0.576,AL KHBEESI,5.115222733552028,1992,0,0,0,0,0,0,52.80668296744363,5.0,1.0,3.4
GEMS Our Own English High School,Al Warqaa ,25.193874,55.426669,KG1-G12,10169.0,1972.0,Indian(CBSE),Gems Our Own English High School,General Practice,0.0483707187122662,1,12,130,2312,Rashidiya,5.391673423107701,0,0,0,540,0,1,0,0,0,0,3.254352341349527,0.039,5.392,0.408,AL HAMRIYA PORT,1.2435238406745115,481,0,4,12,0,56035,205106,55.907019540192195,3.0,3.0,3.0
Our Own High School - Dubai,Al Warqaa,25.190892,55.400567,G1-G12,4734.0,2005.0,Indian(CBSE),VELCARE ORTHODONTIC & DENTAL CLINIC L.L.C,General Dentistry,0.4124959177462915,14,30,118,2312,Rashidiya,4.473813695256226,0,0,10,540,0,1,0,1,1,1,2.849286584252252,0.33,4.474,0.467,PORT SAEED,0.8801715549099883,13551,2,4,12,15543,99211,299592,56.58831821681186,1.8,3.0,2.2800000000000002
GEMS Our Own Indian School,Al Quoz,25.171781,55.260647,KG1-G12,3643.0,1991.0,Indian(CBSE),Our Own Indian School. School Clinic,General Practice,0.0468828641986121,8,75,408,2312,Business Bay,2.16770905962591,0,0,40,540,0,20,5,4,4,4,1.3193785814549903,0.038,2.168,0.938,BURJ KHALIFA,3.1470723696748633,20477,0,0,8,0,0,88826,63.80553695609122,4.0,1.0,2.8
Pakistan Education Academy,Umm Hurair,25.241917,55.316989,KG1-G12,1689.0,1973.0,Pakistani,Pakistan Education Acedemy,General Practice,0.0073506630485379,64,231,673,2312,Oud Metha,0.2205757304098616,10,50,240,540,0,59,16,24,24,24,0.1352857034653321,0.006,0.176,1.173,AYAL NASIR,1.7427265436436608,19280,0,2,19,0,23249,416594,55.77410869079842,3.0,2.0,2.5999999999999996
Philadelphia Private School,Al Muhaisnah,25.278906,55.402194,KG1-G12,1402.0,2006.0,US,Philadelphia Private School,General Practice,0.0918511689343554,17,37,162,2312,Al Qusais,2.335355685970523,0,0,60,540,0,5,3,6,6,6,1.4379538791560558,0.073,2.335,0.826,DUBAI  AIRPORT,4.682241081857868,22,0,0,1,0,0,22,50.69237133696711,4.0,1.0,2.8
Pristine Private School,Al Nahda,25.293458,55.375039,FS1-G12,1529.0,1992.0,UK,Pristine Pvt. School,General Practice,0.0324879229735242,31,69,169,2312,Stadium,2.204924811256234,0,0,70,540,0,7,3,7,7,7,1.33595005594315,0.026,2.205,0.874,AL QUSAIS IND. FOURTH,3.1403752345910467,2709,0,0,12,0,0,290739,50.65871968045691,4.0,2.0,3.2
Queen International School,Hor Al Anz ,25.283108,55.348792,FS1-G11,1179.0,1998.0,UK,Queen International School,Nursing,0.0314346295703642,23,59,362,2312,Al Qiyadah,0.7249382464585375,20,30,170,540,0,18,6,17,17,17,0.4475367997032682,0.025,0.58,1.112,AL QUSAIS THIRD,1.968962241621072,7162,0,1,22,0,7162,351671,52.08480124301455,3.0,2.0,2.5999999999999996
Raffles International School - South Campus,Umm Suqeim,25.136467,55.194503,FS1-G7,1267.0,2008.0,UK,Senses Residential and Day Care for Special Needs,General Practice,0.1622279874833478,42,119,348,2312,FGB,1.7299240330082244,0,20,50,540,0,14,7,5,5,5,1.1028456147982737,0.13,1.557,0.976,AL BARSHAA FIRST,2.6495002852929788,39451,0,0,8,0,0,131088,70.56068930538834,4.0,2.0,3.2
Raffles World Academy,Umm Suqeim,25.14035,55.196792,KG1-G12,1821.0,2008.0,UK/IB,Raffles World Academy Br Of Raffles International School L L C,General Practice,0.0771646271542766,61,131,345,2312,FGB,1.8832012364175168,0,10,50,540,0,13,7,5,5,5,1.160786592712221,0.062,1.695,0.951,AL BARSHAA FIRST,3.0185882848265866,39451,0,0,8,0,0,131088,70.12618350032452,4.0,2.0,3.2
Rajagiri International School,Al Warqaa ,25.186925,55.402725,KG1-G8,1339.0,2008.0,Indian(CBSE),International Academic School,General Practice,0.1348314965438196,12,31,109,2312,Rashidiya,4.952204033353096,0,0,10,540,0,1,0,1,1,1,3.025255018629385,0.108,4.952,0.42,PORT SAEED,0.9426267120179352,13551,1,4,11,13551,99211,253407,56.86594745382095,1.8,3.0,2.2800000000000002
Rashid School for Boys,Nad Al Sheba,25.181331,55.313416,KG1-G12,622.0,1986.0,UK,Healthagon Rehabiltation Center L.L.C,Physiotherapy,0.4376137968020973,4,6,100,2312,Creek,4.908991508143265,0,0,20,540,0,11,0,2,2,2,3.120440423606798,0.35,4.909,0.523,BURJ KHALIFA,4.30415978574616,20477,0,0,1,0,0,20477,60.33672849029148,4.0,1.0,2.8
Regent International School,Emirates  Hills,25.088125,55.173753,FS1-G12,1414.0,1992.0,UK,Jumairah International Nursery,Nursing,0.033284374066094,6,39,292,2312,Dubai Internet City,1.5534509643856451,0,20,60,540,0,20,3,6,6,6,0.9453843282578248,0.027,1.398,1.012,AL BARSHAA FIRST,4.007119981118024,39451,0,0,8,0,0,131088,75.73535057860157,4.0,2.0,3.2
Repton School Dubai,Nad Al Sheba,25.145306,55.378833,FS1-G12,2060.0,2007.0,UK/IB,Repton School Fz-LLC,Nursing,0.0693224338369643,3,5,103,2312,Creek,9.119182002007651,0,0,0,540,0,2,0,0,0,0,5.499238174739378,0.055,9.119,0.417,AL WAHEDA,6.0743328932834455,20785,0,0,0,0,0,0,61.07538298424615,5.0,1.0,3.4
Russian International School,Al Muhaisnah,25.282619,55.404694,KG1-G11,426.0,1997.0,Russian,Russian Intenational School,Nursing,0.0288994528511203,16,31,160,2312,Al Qusais,2.814827991793085,0,0,50,540,0,5,3,5,5,5,1.7004565762162993,0.023,2.815,0.761,DUBAI  AIRPORT,5.136757091705322,22,0,0,0,0,0,0,50.436189439349135,5.0,1.0,3.4
Salman Al Farsi Iranian School,Al Qusais,25.280592,55.370039,G1-G12,438.0,2000.0,Iranian,WOODLEM PARK SCHOOL LLC,Nursing,0.1808914785359479,32,95,264,2312,Al Nahda,0.8167995578720095,20,40,130,540,0,15,6,13,13,13,0.5624363261375849,0.145,0.653,1.095,DUBAI  AIRPORT,3.092357987174475,22,0,0,11,0,0,137610,51.45776608496873,4.0,2.0,3.2
School of Modern Skills,Al Muhaisnah,25.244356,55.416036,KG1-G12,1518.0,2006.0,US,Modern Skills School,General Practice,0.0590409179765323,7,26,163,2312,Etisalat,1.9064448404701184,0,10,30,540,0,3,2,3,3,3,1.167483271472684,0.047,1.716,0.829,ABU HAIL,4.795239050442015,17240,0,0,3,0,0,94131,52.48798375441991,4.0,1.0,2.8
Sharjah American International School,Al Warqaa,25.185614,55.403222,KG1-G12,1563.0,2005.0,US,International Academic School,General Practice,0.0956880462001463,12,33,106,2312,Rashidiya,5.105658124979419,0,0,0,540,0,1,0,0,0,0,3.10167009346771,0.077,5.106,0.406,PORT SAEED,1.0280220973366196,13551,0,4,11,0,36809,253407,56.96352338479603,3.0,2.0,2.5999999999999996
St. Mary's Catholic High School,Umm Hurair,25.240369,55.317628,KG2-G11,1928.0,1973.0,UK,English Language Private School,General Practice,0.0877170716279743,76,209,670,2312,Oud Metha,0.4034294877594688,10,30,240,540,0,58,16,24,24,24,0.277144521306871,0.07,0.323,1.148,AYAL NASIR,1.8310214932543023,19280,0,1,19,0,19280,416594,55.841368093310166,3.0,2.0,2.5999999999999996
Star International School - Al Twar,Al Twar,25.259086,55.385236,FS1-G8,528.0,2000.0,UK,British Orchard Nursery Al Twar,Nursing,0.2941328383285713,10,31,254,2312,Al Qusais,0.4567326741505792,10,30,120,540,0,13,7,12,12,12,0.3916927398217761,0.235,0.365,1.133,DUBAI  AIRPORT,2.1029404156231553,22,0,0,7,0,0,201309,52.21152796238222,4.0,2.0,3.2
Star International School - Mirdif,Mirdif,25.223019,55.417214,FS1-G5,469.0,2008.0,UK,EVERYOUNG CLINIC LLC,General Dentistry,0.1464217387740876,13,48,141,2312,Rashidiya,2.73680106478173,0,0,20,540,0,1,1,2,2,2,1.700649334378673,0.117,2.737,0.696,AL KHBEESI,3.078005614623413,1992,0,0,9,0,0,260312,53.89549597165734,4.0,2.0,3.2
Horizon International Schoool,Umm Al Sheif,25.132825,55.204881,FS1-G9,861.0,2008.0,UK,Odyssey Nursery LLC (Branch),Nursing,0.2998418665668902,55,152,379,2312,FGB,0.743541632614425,10,20,50,540,0,14,7,5,5,5,0.5660617261954111,0.24,0.595,1.089,AL BARSHAA FIRST,2.1586860854267256,39451,0,0,8,0,0,131088,70.14836936973016,4.0,2.0,3.2
The Central School,Al Nahda,25.291533,55.375722,KG1-G12,3292.0,1981.0,Indian(CBSE),The Central School,General Practice,0.0206767551475705,34,75,173,2312,Stadium,2.0863474491530263,0,0,80,540,0,7,3,8,8,8,1.260079171550844,0.017,2.086,0.899,AL QUSAIS IND. FOURTH,3.3407659441881434,2709,0,0,11,0,0,255792,50.73113130621276,4.0,2.0,3.2
The Children's Garden,Al Barsha ,25.094577,55.211878,KG1-KG2,45.0,2012.0,Kindergarten,Redwood Early Learning Center Of Excellence BR Kids First Group LLC.,Nursing,0.0480565370778712,5,21,220,2312,Mashreq,3.0838185620222567,0,0,40,540,0,11,5,4,4,4,1.8695137520445024,0.038,3.084,0.778,AL BARSHAA FIRST,2.341740146532741,39451,0,0,8,0,0,131088,72.81364860160967,4.0,2.0,3.2
The City School International,Nad Al Hamar,25.193606,55.388731,FS1-G10,753.0,1989.0,UK,The City School International Private,Nursing,0.0247769253092437,10,26,113,2312,Rashidiya,4.079172697543499,0,0,10,540,0,1,0,1,1,1,2.4574143886497968,0.02,4.079,0.53,HOR AL ANZ,1.2804521276397505,83187,0,3,11,0,102419,306277,56.64880414679964,3.0,3.0,3.0
The Elite English School,Al Waheda,25.288842,55.340475,KG1-G12,1698.0,1993.0,Indian(CBSE),The Elite English School,Nursing,0.0215502134812522,7,45,346,2312,Abu Hail,1.6205696127313194,0,20,140,540,0,17,6,14,14,14,0.9809618530312924,0.017,1.459,1.005,AL QUSAIS THIRD,0.9196951408454247,7162,1,5,22,7162,83495,297671,52.15985924368344,1.5,3.0,2.1
The English College - Dubai,Al Safa,25.16905,55.237469,G6-G12,581.0,1992.0,UK,The English College,General Practice,0.0579368159459316,21,125,436,2312,Noor Bank,1.7343241292416205,0,10,30,540,0,17,7,3,3,3,1.0637692039233448,0.046,1.561,0.99,BURJ KHALIFA,4.858813919640491,20477,0,0,1,0,0,20477,65.41391051640007,4.0,1.0,2.8
The Indian Academy,Al Muhaisnah,25.257534,55.386361,KG1-G7,719.0,2012.0,Indian(ICSE),British Orchard Nursery Al Twar,Nursing,0.493398312179733,7,27,259,2312,Al Qusais,0.580808281292792,10,30,120,540,0,13,7,12,12,12,0.5458442936475685,0.395,0.465,1.111,DUBAI  AIRPORT,2.1648639480598266,22,0,0,8,0,0,208429,52.274938822104936,4.0,2.0,3.2
The Indian High School,Oud Metha,25.240542,55.315133,G5-G12,5896.0,1961.0,Indian(CBSE),The Indian High School Clinic,General Practice,0.0174338087254843,79,218,676,2312,Oud Metha,0.3572399335285451,10,40,230,540,0,58,16,23,23,23,0.2213174836073208,0.014,0.286,1.156,AYAL NASIR,1.9823208628913749,19280,0,1,19,0,19280,416594,55.95579285398132,3.0,2.0,2.5999999999999996
The Indian High School - Branch,Al Garhoud,25.248436,55.340581,KG1-G4,4195.0,1988.0,Indian(CBSE),The Indian High School Clinic(Branch),General Practice,0.1159920988756215,44,83,584,2312,GGICO,0.1301958817727926,10,40,240,540,0,39,14,24,24,24,0.1245143686139241,0.093,0.104,1.18,AL MURAR,0.5035987008333825,38970,2,4,22,89060,118820,543310,54.28639916007688,1.8,5.0,3.08
The Indian International School,Dubai Silicon Oasis,25.115873,55.375965,KG1-G7,1858.0,2011.0,Indian(CBSE),The Indian International School(Dso Branch),General Practice,0.1653079546800893,14,34,68,2312,Creek,12.051602683334218,0,0,0,540,0,2,0,0,0,0,7.2970847918725665,0.132,12.052,0.413,AL MAMZER,8.764051319943224,14938,0,0,0,0,0,0,63.863951372820445,5.0,1.0,3.4
The International School of Choueifat - DIP,Dubai Investment Park,24.983802,55.15553,KG1-G10,2190.0,2012.0,SABIS (UK/US),Karama Medical Centre(Br Dip),General Practice,0.3436909859843426,3,15,54,2312,Station R75,0.6449324616312266,10,10,40,540,0,2,1,4,4,4,0.524435871372473,0.275,0.516,0.969,AL BARSHAA FIRST,15.169963420153252,39451,0,0,0,0,0,0,85.93835053306456,5.0,1.0,3.4
The International School of Choueifat - Dubai,Al Sufouh,25.107181,55.171625,KG1-G12,4040.0,1994.0,SABIS (UK/US),The International School Of Choueifat Clinic,General Practice,0.0388176611332409,14,53,301,2312,Dubai Internet City,0.6057379028942793,10,10,60,540,0,17,5,6,6,6,0.378969806189864,0.031,0.485,1.126,AL BARSHAA FIRST,3.1307209927354194,39451,0,0,8,0,0,131088,74.33738825772272,4.0,2.0,3.2
The Kindergarten Starters,Al Garhoud,25.247964,55.339353,KG1-G5,5511.0,1982.0,Indian(CBSE),The Indian High School Clinic(Branch),General Practice,0.101289441292697,43,87,583,2312,GGICO,0.183710341945827,10,30,230,540,0,39,14,23,23,23,0.150741981684575,0.081,0.147,1.174,AL MURAR,0.3915337685248317,38970,2,4,22,89060,118820,543310,54.36524358145378,1.0,5.0,2.6
The Millennium School,Al Qusais,25.286631,55.367103,KG1-G12,2954.0,2000.0,Indian(CBSE),Al Maaref Private School,Nursing,0.0855904861654717,35,81,243,2312,Stadium,1.1278977049671777,0,30,110,540,0,15,5,11,11,11,0.710974817446495,0.068,1.015,1.061,AL QUSAIS IND. SECOND,3.068091164919954,8834,0,0,11,0,0,294956,51.24867783699109,4.0,2.0,3.2
The Oxford School,Al Muhaisnah,25.281228,55.402192,FS1-G12,2128.0,1988.0,UK,The Oxford School,General Practice,0.0289538006180272,17,32,163,2312,Al Qusais,2.540238816434383,0,0,60,540,0,5,3,6,6,6,1.535724810107841,0.023,2.54,0.804,DUBAI  AIRPORT,4.844592133702622,22,0,0,1,0,0,22,50.56591297887552,4.0,1.0,2.8
The Philippine School,Al Twar,25.244733,55.393747,KG1-G10,1975.0,2008.0,Philippine,Deira Pvt School,General Practice,0.4755733410576671,2,8,205,2312,Etisalat,1.336957120645766,0,20,90,540,0,6,3,9,9,9,0.9924036088105264,0.38,1.203,0.971,DUBAI  AIRPORT,2.9988752377382553,22,0,0,9,0,0,258766,52.88589040243132,4.0,2.0,3.2
Sheikh Rashid Bin Saeed Islamic Institute,Al Satwa,25.215886,55.269667,G6-G12,120.0,2003.0,MOE,Morfologie Slim Bods Slimming Therapy Center,Massage - Physiotherapy,0.3318970516376752,41,211,525,2312,Financial Centre,0.8038579863972274,10,40,70,540,0,49,10,7,7,7,0.6150736124934065,0.266,0.643,1.09,JUMEIRA BAY,1.2379655784685906,39,0,7,8,0,68349,88826,60.09570239059506,2.7,3.0,2.8200000000000003
The School of Research Science,Al Qusais,25.20083,55.439205,FS1-G12,2699.0,2003.0,UK,The School Of Research Science,General Practice,0.082619221166712,2,7,103,2312,Rashidiya,5.831450569238346,0,0,0,540,0,1,0,0,0,0,3.531918030009692,0.066,5.831,0.407,AL WAHEDA,2.5936767087853196,20785,0,0,10,0,0,180746,55.2397853676473,4.0,2.0,3.2
The Sheffield Private School,Al Qusais,25.293372,55.385719,FS1-G11,1643.0,2004.0,UK,Sheffield Private School,General Practice,0.0268445220598742,15,57,166,2312,Al Nahda,2.7760033181177826,0,0,70,540,0,7,3,7,7,7,1.676339799694619,0.021,2.776,0.806,AL QUSAIS IND FIFTH,3.9439770379446313,1613,0,0,9,0,0,236157,50.346214869133945,4.0,2.0,3.2
The Westminster School,Al Qusais,25.283053,55.370633,KG1-G12,5034.0,1988.0,UK,The Westminster School(Br Of Gems Wellington Academy FZE) Dubai Branch,General Practice,0.0273490740941856,36,98,241,2312,Stadium,1.08141124391022,0,40,120,540,0,15,6,12,12,12,0.6597863759838063,0.022,0.973,1.069,DUBAI  AIRPORT,3.3719335947578046,22,0,0,10,0,0,98640,51.31325816812546,4.0,1.0,2.8
The Winchester School,Jebel Ali,25.040094,55.120922,FS1-G12,3617.0,2003.0,UK,The Winchester School,General Practice,0.0562451003204563,11,24,121,2312,Ibn Battuta,0.8128429412575223,10,20,80,540,0,7,1,8,8,8,0.5102038048826959,0.045,0.65,1.05,AL BARSHAA FIRST,11.546415745086662,39451,0,0,0,0,0,0,83.19594973623519,5.0,1.0,3.4
Towheed Iranian School for Boys,Al Quoz,25.170393,55.262097,KG1-G12,798.0,1958.0,Iranian,Our Own Indian School. School Clinic,General Practice,0.187287569910717,8,63,392,2312,Business Bay,2.328060504262284,0,0,40,540,0,20,5,4,4,4,1.4717513305216572,0.15,2.328,0.913,BURJ KHALIFA,3.2276644392582843,20477,0,0,8,0,0,88826,63.829036462802044,4.0,1.0,2.8
Towheed Iranian School for Girls,Al Karama,25.252983,55.306842,G1-G12,279.0,1958.0,Iranian,Iranian Towheed Girls School,Nursing,0.0322756250947036,65,189,663,2312,BurJuman,0.3334370678640572,10,60,220,540,0,59,16,22,22,22,0.2129724907563157,0.026,0.267,1.159,AL TWAR FIRST,1.0870938646452264,11509,0,8,18,0,124776,404306,55.628563714196446,2.7,3.0,2.8200000000000003
United International Private School,Al Muhaisnah,25.277289,55.408747,KG1-G10,1829.0,1992.0,Philippine,United International Pvt. School,Nursing,0.0564927602132692,11,24,160,2312,Etisalat,2.618441142614728,0,0,50,540,0,4,3,5,5,5,1.5936617896541443,0.045,2.618,0.774,DUBAI  AIRPORT,5.121957254423758,22,0,0,0,0,0,0,50.64481376442479,5.0,1.0,3.4
Universal American School,Ras Al Khor,25.221422,55.365489,KG1-G12,1402.0,2005.0,US/IB,Universal American School-Dubai Festival City,General Practice,0.1729073826021993,2,21,235,2312,Emirates,2.183707592281099,0,0,80,540,0,16,7,8,8,8,1.379387508409539,0.138,2.184,0.931,AL MUTEENA,0.4016743927814768,46185,2,5,12,70932,147837,349818,55.1866216641218,1.0,5.0,2.6
