school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,total_healthcare_facilities,nearest_metro_station,nearest_metro_distance_km,metro_within_1km,metro_within_2km,metro_within_5km,total_metro_stations,hospitals_within_5km,clinics_within_5km,pharmacies_within_5km,food_venues_within_5km,shopping_venues_within_5km,entertainment_venues_within_5km,accessibility_score,healthcare_accessibility_score,metro_accessibility_score,overall_urban_score,nearest_community,nearest_community_distance_km,nearest_community_population,communities_within_1km,communities_within_2km,communities_within_5km,population_within_1km,population_within_2km,population_within_5km,avg_distance_to_communities_km,community_accessibility_score,community_density_score,overall_community_score
Dubai College,Al Sufouh,25.110194,55.169042,G6-G12,850.0,1978.0,UK,Dubai College,Nursing,0.0976565776222052,5,50,298,2312,Dubai Internet City,1.0191452577465518,0,10,60,540,0,17,5,6,6,6,0.6505497856968132,0.078,0.917,1.074,AL BARSHAA FIRST,3.3299107864642896,39451,0,0,8,0,0,131088,74.28050395583483,4.0,2.0,3.2
Dubai English Speaking College,Dubai Academic City,25.105911,55.399886,G6-G12,1130.0,2005.0,UK,Dubai English Speaking Special Branch(College),Nursing,0.0390155370233528,4,25,65,2312,Rashidiya,13.85047924458522,0,0,0,540,0,2,0,0,0,0,8.325893761560474,0.031,13.85,0.418,AL GARHOUD,8.066391965439045,18535,0,0,0,0,0,0,64.23028513013165,5.0,1.0,3.4
Dubai English Speaking School,Umm Hurair,25.238244,55.317725,FS1-G5,971.0,1973.0,UK,Dubai English Speaking School,Nursing,0.0897620272616846,83,191,675,2312,Oud Metha,0.6287103027698135,20,20,230,540,0,58,16,23,23,23,0.4131309925665619,0.072,0.503,1.121,AYAL NASIR,2.0164257376891808,19280,0,0,17,0,0,369202,55.974101170127085,4.0,2.0,3.2
Dubai Gem Private School,Oud Metha,25.235942,55.316167,FS1-G12,1354.0,1983.0,UK,Dubai Gem Pvt.School Clinic,General Practice,0.0612514190371549,94,189,681,2312,Oud Metha,0.8592595394319111,20,20,230,540,0,58,16,23,23,23,0.5400562912740087,0.049,0.687,1.094,AYAL NASIR,2.3163267237466365,19280,0,0,17,0,0,369202,56.20213980342921,4.0,2.0,3.2
Dubai International Academy,Emirates  Hills,25.077917,55.179,FS1-G12,2033.0,2005.0,IB,Regent International Private School,Nursing,1.2014027472060194,0,8,262,2312,Nakheel,2.4408103896402493,0,0,50,540,0,19,2,5,5,5,1.9450473326665576,1.081,2.441,0.859,AL BARSHAA FIRST,4.589201002286149,39451,0,0,8,0,0,131088,76.25352009834303,4.0,2.0,3.2
Dubai International School - Al Garhoud,Al Garhoud,25.248367,55.341864,KG1-G12,2458.0,1985.0,US,Dubai International Pvt. School,General Practice,0.0763835961852986,43,80,590,2312,GGICO,0.2228745441445464,10,40,230,540,0,40,14,23,23,23,0.1642781649608473,0.061,0.178,1.17,NAIF,0.5644371965715737,50090,2,4,22,89060,118820,543310,54.23902133169363,1.8,5.0,3.08
Dubai International School - Al Quoz,Al Quoz,25.170089,55.262378,KG1-G12,2179.0,1999.0,US,Dubai International Private School- Br,General Practice,0.1827264048551935,8,63,390,2312,Business Bay,2.363966376315442,0,0,40,540,0,20,5,4,4,4,1.4914703877313424,0.146,2.364,0.909,BURJ KHALIFA,3.248272556012464,20477,0,0,8,0,0,88826,63.83648274907216,4.0,1.0,2.8
Dubai Modern Education School,Al Mizhar,25.238822,55.427392,KG1-G12,2668.0,1996.0,MOE/US,Dubai Modern Educational School,General Practice,0.0497627731676996,25,47,115,2312,Etisalat,3.193787399197869,0,0,30,540,0,1,1,3,3,3,1.936177548785801,0.04,3.194,0.655,HOR AL ANZ,5.082257624238819,83187,0,0,0,0,0,0,52.6835451199527,5.0,1.0,3.4
GEMS Modern Academy,Nad Al Sheba,25.153603,55.376153,KG1-12,3780.0,2004.0,Indian(CISCE),Gems Modern Academy,General Practice,0.062211509854307,3,5,106,2312,Creek,8.173639466409035,0,0,0,540,0,2,0,0,0,0,4.929068283787144,0.05,8.174,0.418,PORT SAEED,5.508576211757915,13551,0,0,0,0,0,0,60.4054153629548,5.0,1.0,3.4
Dubai National School - Al Barsha,Al Barsha ,25.106917,55.192436,KG1-G12,2843.0,1988.0,US,Dubai National School(Albarsha),General Practice,0.1713113232679948,26,94,298,2312,Mashreq,0.8905900711844329,10,30,50,540,0,12,6,5,5,5,0.6028785720178577,0.137,0.712,1.056,AL BARSHAA FIRST,1.208399127228666,39451,0,8,8,0,131088,131088,72.95534794853616,2.7,3.0,2.8200000000000003
Dubai National School - Al Twar,Al Twar,25.278803,55.368489,KG1-G12,1957.0,2000.0,US,Dubai National School(Al Qusais),General Practice,0.0126716441170397,25,89,304,2312,Al Nahda,0.6207881874162721,20,40,150,540,0,19,6,15,15,15,0.377541570096579,0.01,0.497,1.125,DUBAI  AIRPORT,2.8748734314440103,22,0,0,14,0,0,217460,51.59932570283194,4.0,2.0,3.2
Dubai Police Kindergarten - Deira,Al Waheda,25.286906,55.338789,KG1-KG2,95.0,2000.0,MOE,The Elite English School,Nursing,0.2770201754041599,9,48,363,2312,Abu Hail,1.4992255483242691,0,30,160,540,0,18,6,16,16,16,1.0103433991562254,0.222,1.349,1.009,AL QUSAIS THIRD,0.929818191566027,7162,1,5,23,7162,83495,347761,52.321484367584105,1.5,3.0,2.1
Dubai Scholars Private School,Al Qusais,25.280228,55.364739,FS1-G11,1572.0,1994.0,UK,Dubai club for people of determination ,Physiotherapy,0.2570949102580062,30,89,321,2312,Stadium,0.4167162984640324,20,50,150,540,0,19,6,15,15,15,0.3528677431816219,0.206,0.333,1.14,DUBAI  AIRPORT,3.017228191177205,22,0,0,16,0,0,283365,51.64871301990789,4.0,2.0,3.2
Dubai Women's College High School,Al Nahda,25.285,55.376523,G9-G12,58.0,2012.0,US,Higher College Of Technology - Dubai Women,Nursing,0.2780583932454228,28,92,186,2312,Al Nahda,1.4905374561225724,0,30,100,540,0,8,3,10,10,10,1.0055458309717125,0.222,1.341,0.99,DUBAI  AIRPORT,3.7192782648695415,22,0,0,10,0,0,249299,51.03274916326725,4.0,2.0,3.2
Emirates English Speaking School,Al Safa ,25.177928,55.241281,KG1-G12,1848.0,1980.0,Indian(CBSE),MASHA NATURAL BEAUTY POLY CLINIC,General Practice,0.1754364826369574,41,102,465,2312,Business Bay,2.431223394291868,0,0,30,540,0,20,5,3,3,3,1.528908629629904,0.14,2.431,0.901,BURJ KHALIFA,3.9620556034001164,20477,0,0,8,0,0,88826,64.525779435414,4.0,1.0,2.8
Emirates International School - Jumeirah,Umm Al Sheif,25.131186,55.203358,FS1-G12,1893.0,1991.0,IB,Odyssey Nursery LLC (Branch),Nursing,0.1061651154340352,49,151,373,2312,FGB,0.6747854129653494,10,20,50,540,0,14,7,5,5,5,0.4473372939528237,0.085,0.54,1.105,AL BARSHAA FIRST,1.9609754185428276,39451,0,8,8,0,131088,131088,70.36750224831069,2.7,3.0,2.8200000000000003
Emirates International School - Meadows,Emirates  Hills,25.064758,55.156161,FS1-G12,1609.0,2006.0,IB,Emirates International Private School(Br),General Practice,0.0833038808254679,3,81,223,2312,DMCC,1.886186950849076,0,20,90,540,0,15,2,9,9,9,1.1650337228396324,0.067,1.698,0.97,AL BARSHAA FIRST,7.121203907476793,39451,0,0,0,0,0,0,78.8300225424717,5.0,1.0,3.4
English Language Private School,Umm Hurair,25.241956,55.317775,FS1-G11,1528.0,1982.0,UK,Pakistan Education Acedemy,General Practice,0.0862327831326665,63,224,673,2312,Oud Metha,0.2639135451186655,10,50,240,540,0,59,15,24,24,24,0.1928412403242659,0.069,0.211,1.165,AYAL NASIR,1.6861177570783923,19280,0,3,20,0,62219,416616,55.7322608002655,3.0,3.0,3.0
GEMS Jumeirah Primary School,Al Safa,25.175947,55.238661,FS1-G5,1452.0,1994.0,UK,Gems Jumeira Primary School,General Practice,0.0586278783757287,44,102,465,2312,Noor Bank,2.469614638613846,0,0,30,540,0,20,6,3,3,3,1.505219934518599,0.047,2.47,0.901,BURJ KHALIFA,4.303174477704998,20477,0,0,8,0,0,88826,64.83581554303078,4.0,1.0,2.8
GEMS Royal Dubai School,Al Mizhar,25.237303,55.438586,FS1-G5,1128.0,2005.0,UK,Gems Royal Dubai School Br of GEMS WELLINGTON ACADEMY FZE - DUBAI BRANCH,General Practice,0.0848690087077286,23,47,108,2312,Etisalat,4.251095906737131,0,0,20,540,0,1,1,2,2,2,2.58460514752537,0.068,4.251,0.516,AL KHBEESI,5.624303075919786,1992,0,0,0,0,0,0,52.654066174231346,5.0,1.0,3.4
GEMS Wellington Academy - DSO,Dubai Silicon Oasis,25.118243,55.388303,FS1-G12,3524.0,2011.0,UK,Gems Wellington Academy FZE,Nursing,0.0479682914299137,19,42,69,2312,Creek,12.249945353684518,0,0,0,540,0,2,0,0,0,0,7.369154528782676,0.038,12.25,0.418,AL MAMZER,7.7552916556447,14938,0,0,0,0,0,0,63.327297360442174,5.0,1.0,3.4
GEMS Wellington International School,Al Sufouh,25.112042,55.183447,FS1-G12,2408.0,2005.0,UK,Gems Wellington International School,General Practice,0.1046792104470485,18,70,325,2312,Mashreq,0.8139409355314123,10,30,50,540,0,14,6,5,5,5,0.5302362454976668,0.084,0.651,1.088,AL BARSHAA FIRST,1.8659831346580122,39451,0,8,8,0,131088,131088,73.14599865098413,2.7,3.0,2.8200000000000003
GEMS Wellington Primary School,Al Satwa,25.211233,55.271647,FS1-G5,1145.0,2007.0,UK,Al Badaa Medical Center - PHC,Family Medicine,0.1138247415169131,33,164,524,2312,Financial Centre,0.3969822197311332,10,30,70,540,0,48,10,7,7,7,0.2837192284454451,0.091,0.318,1.148,JUMEIRA BAY,0.720374622355769,39,7,8,8,68349,88826,88826,60.26859338255962,1.2,5.0,2.7199999999999998
GEMS Winchester School,Oud Metha,25.23142,55.321741,FS1-G8,3481.0,2011.0,UK,Mediclinic City Hospital FZ-LLC,Anesthesia,0.1511597657448397,121,157,623,2312,Dubai Health Care,0.1270028386083805,10,30,210,540,0,54,15,21,21,21,0.1366656094629642,0.121,0.102,1.179,AL MURAR,2.3918495467512217,38970,0,0,16,0,0,345991,56.231620959924776,4.0,2.0,3.2
GEMS World Academy,Al Barsha ,25.082225,55.219567,KG1-G12,1948.0,2008.0,IB,GEMS WORLD ACADEMY NURSERY LLC,General Practice,0.1255864258653477,2,13,193,2312,Mashreq,4.630601861374188,0,0,20,540,0,12,3,2,2,2,2.828595687170652,0.1,4.631,0.579,AL BARSHAA FIRST,3.916141409760571,39451,0,0,8,0,0,131088,73.46181386203584,4.0,2.0,3.2
Ambassador School,Al Mankhool,25.246326,55.288267,G1-G10,695.0,2010.0,Indian(ICSE),De Paris Medical Center(Dsc),Orthopedic Surgery,0.2196471977712275,23,192,724,2312,Abu Dhabi Commercial Bank,1.0191797962934437,0,40,170,540,0,55,13,17,17,17,0.6993667568845571,0.176,0.917,1.069,AL TWAR FIRST,1.6258033079425231,11509,0,2,21,0,86575,353955,57.11094404897711,3.0,3.0,3.0
Grammar School,Al Garhoud,25.235469,55.351983,FS1-G11,1041.0,1974.0,UK,Grammar School,General Practice,0.0613853419569177,14,50,433,2312,Airport Terminal 3,1.3045047434857502,0,40,190,540,0,31,12,19,19,19,0.8072569828742172,0.049,1.174,1.041,CORNICHE DEIRA,0.4364944479078938,14,2,4,13,10494,85331,290729,54.67499964166231,1.0,3.0,1.8000000000000003
Greenfield Community School,Green Community,24.983019,55.183838,KG1-G12,1241.0,2007.0,IB,GREENFIELD INTERNATIONAL SCHOOL,Nursing,0.0445866464284319,1,13,50,2312,Station R75,3.499426031827731,0,0,40,540,0,1,1,4,4,4,2.117490277668011,0.036,3.499,0.628,AL BARSHAA FIRST,14.633503549289117,39451,0,0,0,0,0,0,84.43983657591743,5.0,1.0,3.4
