school_name,nearest_community,nearest_community_distance_km,nearest_community_population,communities_within_1km,communities_within_2km,communities_within_5km,population_within_1km,population_within_2km,population_within_5km,avg_distance_to_communities_km
Mirdif Private School,AL KHBEESI,5.532566790517318,1992,0,0,0,0,0,0,52.66473136890151
National Charity School,AL REGA,0.31152902566750296,10480,2,5,13,60570,124301,273491,54.70522225674709
New Academy School,AL TWAR FIRST,1.5899841131101695,11509,0,2,13,0,86575,246636,57.115413124266205
New Indian Model School,AL REGA,0.28307248232030835,10480,3,5,13,60584,124301,273491,54.75914311655266
New World Private School,DUBAI  AIRPORT,1.6542639468069937,22,0,1,8,0,22,189788,52.13416374912985
Nibras International School,AL BARSHAA FIRST,12.989702417654982,39451,0,0,0,0,0,0,83.54771429831
North American International School,AL KHBEESI,5.115222733552028,1992,0,0,0,0,0,0,52.80668296744363
GEMS Our Own English High School,AL HAMRIYA PORT,1.2435238406745115,481,0,4,12,0,56035,205106,55.907019540192195
Our Own High School - Dubai,PORT SAEED,0.8801715549099883,13551,2,4,12,15543,99211,299592,56.58831821681186
GEMS Our Own Indian School,BURJ KHALIFA,3.1470723696748633,20477,0,0,8,0,0,88826,63.80553695609122
Pakistan Education Academy,AYAL NASIR,1.7427265436436608,19280,0,2,19,0,23249,416594,55.77410869079842
Philadelphia Private School,DUBAI  AIRPORT,4.682241081857868,22,0,0,1,0,0,22,50.69237133696711
Pristine Private School,AL QUSAIS IND. FOURTH,3.1403752345910467,2709,0,0,12,0,0,290739,50.65871968045691
Queen International School,AL QUSAIS THIRD,1.968962241621072,7162,0,1,22,0,7162,351671,52.08480124301455
Raffles International School - South Campus,AL BARSHAA FIRST,2.6495002852929788,39451,0,0,8,0,0,131088,70.56068930538834
Raffles World Academy,AL BARSHAA FIRST,3.0185882848265866,39451,0,0,8,0,0,131088,70.12618350032452
Rajagiri International School,PORT SAEED,0.9426267120179352,13551,1,4,11,13551,99211,253407,56.86594745382095
Rashid School for Boys,BURJ KHALIFA,4.30415978574616,20477,0,0,1,0,0,20477,60.33672849029148
Regent International School,AL BARSHAA FIRST,4.007119981118024,39451,0,0,8,0,0,131088,75.73535057860157
Repton School Dubai,AL WAHEDA,6.0743328932834455,20785,0,0,0,0,0,0,61.07538298424615
Russian International School,DUBAI  AIRPORT,5.136757091705322,22,0,0,0,0,0,0,50.436189439349135
Salman Al Farsi Iranian School,DUBAI  AIRPORT,3.092357987174475,22,0,0,11,0,0,137610,51.45776608496873
School of Modern Skills,ABU HAIL,4.795239050442015,17240,0,0,3,0,0,94131,52.48798375441991
Sharjah American International School,PORT SAEED,1.0280220973366196,13551,0,4,11,0,36809,253407,56.96352338479603
St. Mary's Catholic High School,AYAL NASIR,1.8310214932543023,19280,0,1,19,0,19280,416594,55.841368093310166
Star International School - Al Twar,DUBAI  AIRPORT,2.1029404156231553,22,0,0,7,0,0,201309,52.21152796238222
Star International School - Mirdif,AL KHBEESI,3.078005614623413,1992,0,0,9,0,0,260312,53.89549597165734
Horizon International Schoool,AL BARSHAA FIRST,2.1586860854267256,39451,0,0,8,0,0,131088,70.14836936973016
The Central School,AL QUSAIS IND. FOURTH,3.3407659441881434,2709,0,0,11,0,0,255792,50.73113130621276
The Children's Garden,AL BARSHAA FIRST,2.341740146532741,39451,0,0,8,0,0,131088,72.81364860160967
The City School International,HOR AL ANZ,1.2804521276397505,83187,0,3,11,0,102419,306277,56.64880414679964
