school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,total_healthcare_facilities,nearest_metro_station,nearest_metro_distance_km,metro_within_1km,metro_within_2km,metro_within_5km,total_metro_stations,hospitals_within_5km,clinics_within_5km,pharmacies_within_5km,food_venues_within_5km,shopping_venues_within_5km,entertainment_venues_within_5km,accessibility_score,healthcare_accessibility_score,metro_accessibility_score,overall_urban_score
Jumeirah College,Al Safa ,25.176394,55.235789,G6-G12,1110.0,2000.0,UK,Gems Jumeira Primary School,General Practice,0.2487582085613119,37,106,453,2312,Noor Bank,2.4120268177629063,0,0,30,540,0,20,6,3,3,3,1.546719374082269,0.199,2.412,0.901
Jumeirah English Speaking School,Al Safa ,25.179742,55.243147,FS1-G5,698.0,1976.0,UK,Jumeirah English Speaking School,Nursing,0.0687699865199765,36,111,457,2312,Business Bay,2.1598331720278243,0,0,40,540,0,21,5,4,4,4,1.323407897824685,0.055,2.16,0.938
Jumeirah English Speaking School - Arabian Ranches,Arabian Ranches,25.056689,55.272661,FS1-G12,1370.0,2005.0,UK/IB,Jumeirah English Speaking School(Al Marabaa Al Rabaia),Family Medicine,0.0746299450847198,2,2,64,2312,FGB,10.157475928187774,0,0,0,540,0,1,1,0,0,0,6.124337534946552,0.06,10.157,0.407
K12 International Academy,Knowledge Village,25.101772,55.160615,KG2-G12,344.0,2008.0,US,Smart Salem Medical Center 3 FZ LLC,Family Medicine,0.0060307747478722,8,44,276,2312,Dubai Internet City,1.3262598962158048,0,20,60,540,0,20,3,6,6,6,0.7981682476286317,0.005,1.194,1.041
Khadija Al Kobra Iranian School for Girls,Al Karama,25.252825,55.307217,G1-G12,395.0,2000.0,Iranian,Iranian Towheed Girls School,Nursing,0.0681471915698014,63,193,664,2312,BurJuman,0.3739925677797262,10,60,220,540,0,59,16,22,22,22,0.2516544172957563,0.055,0.299,1.152
Kings' Dubai,Umm Suqeim,25.135958,55.196242,FS1-G7,866.0,2004.0,UK,Dubai Kings Private School,Nursing,0.0584128441620055,48,123,354,2312,FGB,1.559390479947892,0,20,50,540,0,14,7,5,5,5,0.9589994256335376,0.047,1.403,1.001
Latifa School for Girls,Nad Al Sheba,25.149325,55.326118,KG1-G12,626.0,1982.0,UK,Al Futtaim Healthcare Single Person Company LLC - Company Clinic,General Practice,1.1213201141103462,0,2,16,2312,Creek,7.8488139640607715,0,0,0,540,0,0,0,0,0,0,5.157816424080601,1.009,7.849,0.355
Little Flowers English School,Hor Al Anz,25.282439,55.336397,KG1-G6,947.0,1984.0,Indian(CBSE),Little Flower English School,Nursing,0.4390721412316529,11,52,414,2312,Abu Hail,1.2749421057978891,0,30,190,540,0,24,6,19,19,19,0.9405941199713947,0.351,1.147,1.029
Lycee Francais International School,Dubai Academic City,25.241403,55.312731,KG1-G12,1948.0,2005.0,French,French International Private School,Nursing,0.0549940281367447,58,224,682,2312,Oud Metha,0.4106542812877484,10,40,220,540,0,58,16,22,22,22,0.2683901800273469,0.044,0.329,1.149
Lycee Georges Pompidou High School,Dubai Academic City,25.104978,55.395858,G1-G12,1756.0,2005.0,French,Lycee Francais International Georges Pompidou,General Practice,0.0441666466366001,4,29,65,2312,Creek,13.90700548984606,0,0,0,540,0,2,0,0,0,0,8.361869952562277,0.035,13.907,0.418
Lycee Georges Pompidou Primary School,Oud Metha,25.233711,55.316025,KG1-KG2,252.0,1998.0,French,Lycee Francais International Georges Pompidou Om,Nursing,0.0833402448642494,103,182,677,2312,Dubai Health Care,0.7557114223252812,10,20,230,540,0,58,16,23,23,23,0.4867629513408684,0.067,0.605,1.106
Lycee Libanais Francophone Prive,Al Muhaisnah,25.275092,55.410419,KG1-G12,962.0,2004.0,French,United International Pvt. School,Nursing,0.3526896213822973,9,27,161,2312,Etisalat,2.44630168024941,0,0,50,540,0,4,3,5,5,5,1.6088568567025652,0.282,2.446,0.782
Mirdif Private School,Al Mizhar,25.237383,55.437061,KG1-G9,747.0,1995.0,US,Healthhub Plus (Br of Al Futtaim Healthcare Single Person Company LLC),Family Medicine,0.0918791285597498,23,50,110,2312,Etisalat,4.111135236351522,0,0,20,540,0,1,1,2,2,2,2.503432793234813,0.074,4.111,0.533
National Charity School,Al Garhoud,25.238522,55.345831,G1-G12,5333.0,1984.0,MOE,National Charity School Boys,General Practice,0.0765986584103651,21,65,504,2312,Airport Terminal 1,1.2883140641294868,0,40,220,540,0,33,13,22,22,22,0.8036279018418381,0.061,1.159,1.042
New Academy School,Al Raffa,25.250636,55.284283,KG1-G12,995.0,1990.0,US,New Academy School,General Practice,0.036568052945983,19,165,695,2312,Abu Dhabi Commercial Bank,1.5570654124528451,0,30,170,540,0,52,13,17,17,17,0.9488664686501004,0.029,1.401,1.012
New Indian Model School,Al Garhoud,25.237008,55.347017,KG1-G12,6973.0,1980.0,Indian(CBSE),New Indian Model School Clinic,General Practice,0.0628856929254178,16,62,485,2312,Airport Terminal 1,1.3833994219144508,0,50,220,540,0,33,13,22,22,22,0.8551939303188376,0.05,1.245,1.031
New World Private School,Al Twar ,25.265406,55.374644,KG1-G12,1854.0,2005.0,MOE,Mnm Optics Llc Branch,Optometry,0.3317134697170045,20,45,313,2312,Dubai Airport Free Zone,0.5042431372657136,10,40,140,540,0,18,6,14,14,14,0.43523127024623,0.265,0.403,1.126
