school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,nearest_metro_station,nearest_metro_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,metro_within_1km,metro_within_2km,metro_within_5km,accessibility_score
His Highness Shaikh Rashid Al Maktoum Pakistani School,Al Qusais,25.28525,55.369953,KG1-G12,1549.0,1995.0,Pakistani,H.H. Shaikh Rashid Al Maktoum Pakistani School,General Practice,0.04028315138369548,Stadium,1.180930127749779,35,95,229,0,40,120,0.7246713372033455
Horizon English School,Al Wasl,25.189889,55.250028,FS1-G5,654.0,1989.0,UK,Horizon English School,Family Medicine,0.05321406756829505,Business Bay,1.0567887596742318,15,125,490,0,10,50,0.6553588828318572
Institute of Applied Technology,Al Qusais,25.271156,55.396703,G9-G12,913.0,2005.0,IAT,Aster Hospital Br Of Aster Dm Healthcare FZC,Anesthesia,0.7122365751256382,Al Qusais,1.3242010228961962,6,56,193,0,20,90,1.079415243787973
International Academic School,Al Warqaa ,25.186381,55.403486,KG1-G12,987.0,2006.0,MOE/US,International Academic School,General Practice,0.038665299681813814,Rashidiya,5.029302278433929,13,31,108,0,0,0,3.0330474869330826
International School of Arts and Sciences,Al Warqaa ,25.189861,55.401889,KG1-G12,843.0,2006.0,US,VELCARE ORTHODONTIC & DENTAL CLINIC L.L.C,General Dentistry,0.26312460700325396,Rashidiya,4.615117923878074,15,31,117,0,0,10,2.874320597128146
Islamic School for Education and Training,Al Muhaisnah,25.252208,55.416992,KG1-G11,718.0,1982.0,MOE,Islamic School For Traning and Education,General Practice,0.03033851293837433,Etisalat,1.6332997242484555,8,28,169,0,10,40,0.992115239724423
Japanese School in Dubai,Al Wasl,25.192697,55.254131,G1-G9,137.0,1980.0,Japanese,Japanese School,Nursing,0.03322897172329617,Business Bay,0.6521181745839112,25,131,491,10,20,60,0.40456249343966516
Jebel Ali Primary School,Jebel Ali,25.034761,55.117981,KG1-G5,626.0,1978.0,UK,Delhi Private School,General Practice,0.6148684374213508,Ibn Battuta,1.3312140484439103,8,20,114,0,30,100,1.0446758040348865
JSS International School,Al Barsha ,25.075028,55.215356,KG1-G12,1783.0,2009.0,Indian(ICSE),GEMS WORLD ACADEMY NURSERY LLC,General Practice,0.7814895207227562,Mashreq,5.06130322341543,4,12,185,0,0,0,3.34937774233836
JSS Private School,Al Safa,25.191845,55.252894,KG1-G11,1898.0,2011.0,Indian(CBSE),Jss Private School,General Practice,0.03259477717473689,Business Bay,0.7597668635049464,23,132,498,10,20,60,0.46889802897286254
