school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,nearest_metro_station,nearest_metro_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,metro_within_1km,metro_within_2km,metro_within_5km,accessibility_score
GEMS Wellington Academy - Al Khail,Al Khail ,25.123129,55.254493,FS1-G7,820.0,2013.0,UK,Gems Wellington Academy Al Khail,General Practice,0.030937348437575923,Noor Bank,4.469935802966626,4,16,131,0,0,20,2.6943364211550063
Oasis School,Al Safa,25.178509,55.238012,KG1-G5,124.0,2013.0,UK,Jumairah International Nursery- Branch,Nursing,0.1909786533820255,Business Bay,2.6642720072031265,40,102,468,0,0,30,1.674954665674686
GEMS International School - Al Khail,Al Khail ,25.122362,55.255576,KG1-G8,567.0,2013.0,IB,Gems International School Al Khail LLC,Nursing,0.017926180653651983,Noor Bank,4.603054739230393,4,14,115,0,0,20,2.7690033157996963
Credence High School ,Al Quoz,25.152316,55.249429,KG1-G6,348.0,2014.0,Indian,Credence High School LLC,General Practice,0.07053278945345212,Noor Bank,2.1395189930882785,28,40,375,0,0,20,1.3119245116343479
Bilva Indian School ,Al Qusais,25.277453,55.366716,KG1-G6,381.0,2014.0,Indian,Amity School LLC,Nursing,0.10847440367650013,Stadium,0.5178779500168156,18,90,324,20,40,150,0.35411653148068944
GEMS FirstPoint School,Dubai land,25.089952,55.376415,FS1-G7,308.0,2014.0,UK,The Aquila School Owned By Shaikh Mohammed Makto,Nursing,0.6969623664806405,Creek,14.831110607640156,3,8,59,0,0,0,9.17745131117635
Kings Nad Al Sheba,Nad Al Shibba,25.152316,55.380192,FS1-G5,67.0,2014.0,UK,Kings School Nad Al Sheba,Nursing,0.30519226807116084,Creek,8.492144840502796,3,6,111,0,0,0,5.217363811530142
Ontario International Canadian School ,Mirdif,25.221404,55.426068,KG1-G6,109.0,2014.0,Canadian,Dr Inas Nutrition Center,Clinical Dietetics and Nutrition,0.22349752135783293,Rashidiya,3.6420937851108177,21,60,127,0,0,20,2.2746552796096235
Nord Anglia International School Dubai,Al Barsha,25.062004,55.227242,FS1-G7,550.0,2014.0,UK,Nord Anglia International School L L C,Nursing,0.2036335367406622,Mashreq,6.91722954599255,3,35,102,0,0,0,4.231791142291795
Kings' Al Barsha,Al Barsha,25.086221,55.251102,FS1-G8,546.0,2014.0,UK,Kings Al Barsha School,Nursing,0.3957989470313048,FGB,6.261399344778204,2,8,85,0,0,0,3.9151591856794443
Gems Metropole School,Motor City,25.042429,55.243657,FS1-G7,934.0,2014.0,UK,Gems Metropole School,General Practice,0.15578193578405639,Station R73,8.541989736182016,16,35,94,0,0,0,5.187506616022832
Safa Community School,Dubai land,25.061716,55.248441,FS1-G7,101.0,2014.0,UK,Safa Community School,Nursing,0.014909333471669683,Mall of the Emirates,8.194971177541007,7,17,90,0,0,0,4.922946439913272
Dovecote Green Primary ,Dubai Investment Park,24.997085,55.155938,KG1,4.0,2014.0,UK,Dove Green Private School LLC,General Practice,0.06386517272054762,Station R74,0.9686867875142835,6,26,56,10,20,60,0.6067581415967891
Capital School,Al Qusais,25.284385,55.371958,FS1-G5,264.0,2014.0,UK,Capital School,Nursing,0.07079224039452706,Al Nahda,1.2632510355752165,35,96,217,0,30,110,0.7862675175029407
Swiss International Scientifc School ,Health Care City,25.219684,55.32988,KG1-12,,2015.0,IB /Swiss ,Fifa Sport Medical Center Of Excellence Dubai LLC,Physical Medicine and Rehabilitation,0.419217315853045,Al Jadaf,0.7015389468197258,3,121,427,20,30,140,0.5886102944330536
Hartland Internaitnal School ,Meydan,25.177947,55.274873,KG1-13,,2015.0,UK/IB,G.M.C.K.S.Pranic Energy Healing Centre,Holistic Therapist,0.2637717036900869,Business Bay,2.076464656580963,17,65,370,0,0,40,1.3513874754246125
St Mary High Catholic School -branch,Muhaisana,25.28038,55.40825,KG1-13,,2015.0,UK,ST MARY HIGH SCHOOL MUHAISNAH L.L.C,General Practice,0.02381407670146091,Al Qusais,2.871605502420344,11,27,155,0,0,50,1.732488932132791
Dubai British School - Jumairah Park ,Jumairah Park,25.298406,55.451661,KG1-13,,2015.0,UK,Dr. Ismail Medical Center(Br Muhaisanah),General Practice,3.6189396715420252,Etisalat,7.0317552156815815,0,0,21,0,0,0,5.666628998025759
Ranches Primary School ,Arabian Ranches,25.031625,55.270907,FS1 -G6,,2015.0,UK,Ranches Nursery,Nursing,0.2391461717879817,Station R73,10.945471777503997,7,11,65,0,0,0,6.662941535217591
