school_name,location,latitude,longitude,type_of_school,grades,students,year_established,nearest_healthcare_name,nearest_healthcare_distance_km_x,nearest_metro_station,nearest_metro_distance_km_x,nearest_community,nearest_community_distance_km,healthcare_accessibility_tier,metro_accessibility_tier,community_accessibility_tier,performance_category,geographic_cluster_label,accessibility_category,comprehensive_accessibility_score,final_urban_score,healthcare_within_1km_x,metro_within_1km_x,communities_within_1km,population_within_1km
Dubai Gem Private School,Oud Metha,25.235942,55.316167,UK,FS1-G12,1354.0,1983.0,Dubai Gem Pvt.School Clinic,0.0612514190371549,Oud Metha,0.8592595394319111,AYAL NASIR,2.3163267237466365,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2576,94,20,0,0
Dubai International Academy,Emirates  Hills,25.077917,55.179,IB,FS1-G12,2033.0,2005.0,Regent International Private School,1.2014027472060194,Nakheel,2.4408103896402493,AL BARSHAA FIRST,4.589201002286149,Moderate,Moderate,Moderate,High,Southern Cluster,Excellent,4.7,3.1636,0,0,0,0
Dubai International School - Al Garhoud,Al Garhoud,25.248367,55.341864,US,KG1-G12,2458.0,1985.0,Dubai International Pvt. School,0.0763835961852986,GGICO,0.2228745441445464,NAIF,0.5644371965715737,Excellent,Excellent,Excellent,Medium,Northern Cluster,Excellent,4.04,2.892,43,10,2,89060
Dubai International School - Al Quoz,Al Quoz,25.170089,55.262378,US,KG1-G12,2179.0,1999.0,Dubai International Private School- Br,0.1827264048551935,Business Bay,2.363966376315442,BURJ KHALIFA,3.248272556012464,Excellent,Moderate,Moderate,High,Central Cluster,Excellent,4.7,3.1836,8,0,0,0
Dubai Modern Education School,Al Mizhar,25.238822,55.427392,MOE/US,KG1-G12,2668.0,1996.0,Dubai Modern Educational School,0.0497627731676996,Etisalat,3.193787399197869,HOR AL ANZ,5.082257624238819,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.262,25,0,0,0
GEMS Modern Academy,Nad Al Sheba,25.153603,55.376153,Indian(CISCE),KG1-12,3780.0,2004.0,Gems Modern Academy,0.062211509854307,Creek,8.173639466409035,PORT SAEED,5.508576211757915,Excellent,Poor,Poor,High,Western Cluster,Excellent,5.0,3.1672,3,0,0,0
Dubai National School - Al Barsha,Al Barsha ,25.106917,55.192436,US,KG1-G12,2843.0,1988.0,Dubai National School(Albarsha),0.1713113232679948,Mashreq,0.8905900711844329,AL BARSHAA FIRST,1.208399127228666,Excellent,Excellent,Good,High,Southern Cluster,Excellent,4.3100000000000005,3.0084000000000004,26,10,0,0
Dubai National School - Al Twar,Al Twar,25.278803,55.368489,US,KG1-G12,1957.0,2000.0,Dubai National School(Al Qusais),0.0126716441170397,Al Nahda,0.6207881874162721,DUBAI  AIRPORT,2.8748734314440103,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.27,25,20,0,0
Dubai Police Kindergarten - Deira,Al Waheda,25.286906,55.338789,MOE,KG1-KG2,95.0,2000.0,The Elite English School,0.2770201754041599,Abu Hail,1.4992255483242691,AL QUSAIS THIRD,0.929818191566027,Excellent,Good,Excellent,Medium,Northern Cluster,High,3.95,2.7736,9,0,1,7162
Dubai Scholars Private School,Al Qusais,25.280228,55.364739,UK,FS1-G11,1572.0,1994.0,Dubai club for people of determination ,0.2570949102580062,Stadium,0.4167162984640324,DUBAI  AIRPORT,3.017228191177205,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.276,30,20,0,0
Dubai Women's College High School,Al Nahda,25.285,55.376523,US,G9-G12,58.0,2012.0,Higher College Of Technology - Dubai Women,0.2780583932454228,Al Nahda,1.4905374561225724,DUBAI  AIRPORT,3.7192782648695415,Excellent,Good,Moderate,High,Northern Cluster,Excellent,4.7,3.216,28,0,0,0
Emirates English Speaking School,Al Safa ,25.177928,55.241281,Indian(CBSE),KG1-G12,1848.0,1980.0,MASHA NATURAL BEAUTY POLY CLINIC,0.1754364826369574,Business Bay,2.431223394291868,BURJ KHALIFA,3.962055603400117,Excellent,Moderate,Moderate,High,Central Cluster,Excellent,4.7,3.1804,41,0,0,0
Emirates International School - Jumeirah,Umm Al Sheif,25.131186,55.203358,IB,FS1-G12,1893.0,1991.0,Odyssey Nursery LLC (Branch),0.1061651154340352,FGB,0.6747854129653494,AL BARSHAA FIRST,1.960975418542828,Excellent,Excellent,Good,High,Central Cluster,Excellent,4.3100000000000005,3.0280000000000005,49,10,0,0
Emirates International School - Meadows,Emirates  Hills,25.064758,55.156161,IB,FS1-G12,1609.0,2006.0,Emirates International Private School(Br),0.0833038808254679,DMCC,1.886186950849076,AL BARSHAA FIRST,7.121203907476793,Excellent,Good,Poor,High,Southern Cluster,Excellent,5.0,3.388,3,0,0,0
English Language Private School,Umm Hurair,25.241956,55.317775,UK,FS1-G11,1528.0,1982.0,Pakistan Education Acedemy,0.0862327831326665,Oud Metha,0.2639135451186655,AYAL NASIR,1.6861177570783925,Excellent,Excellent,Good,High,Northern Cluster,Excellent,4.4,3.1060000000000003,63,10,0,0
GEMS Jumeirah Primary School,Al Safa,25.175947,55.238661,UK,FS1-G5,1452.0,1994.0,Gems Jumeira Primary School,0.0586278783757287,Noor Bank,2.469614638613846,BURJ KHALIFA,4.303174477704998,Excellent,Moderate,Moderate,High,Central Cluster,Excellent,4.7,3.1804,44,0,0,0
GEMS Royal Dubai School,Al Mizhar,25.237303,55.438586,UK,FS1-G5,1128.0,2005.0,Gems Royal Dubai School Br of GEMS WELLINGTON ACADEMY FZE - DUBAI BRANCH,0.0848690087077286,Etisalat,4.251095906737131,AL KHBEESI,5.624303075919786,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.2064,23,0,0,0
GEMS Wellington Academy - DSO,Dubai Silicon Oasis,25.118243,55.388303,UK,FS1-G12,3524.0,2011.0,Gems Wellington Academy FZE,0.0479682914299137,Creek,12.249945353684518,AL MAMZER,7.7552916556447,Excellent,Poor,Poor,High,Western Cluster,Excellent,5.0,3.1672,19,0,0,0
GEMS Wellington International School,Al Sufouh,25.112042,55.183447,UK,FS1-G12,2408.0,2005.0,Gems Wellington International School,0.1046792104470485,Mashreq,0.8139409355314123,AL BARSHAA FIRST,1.865983134658012,Excellent,Excellent,Good,High,Southern Cluster,Excellent,4.3100000000000005,3.0212000000000003,18,10,0,0
GEMS Wellington Primary School,Al Satwa,25.211233,55.271647,UK,FS1-G5,1145.0,2007.0,Al Badaa Medical Center - PHC,0.1138247415169131,Financial Centre,0.3969822197311332,JUMEIRA BAY,0.720374622355769,Excellent,Excellent,Excellent,Medium,Central Cluster,High,3.86,2.7752,33,10,7,68349
GEMS Winchester School,Oud Metha,25.23142,55.321741,UK,FS1-G8,3481.0,2011.0,Mediclinic City Hospital FZ-LLC,0.1511597657448397,Dubai Health Care,0.1270028386083805,AL MURAR,2.3918495467512217,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2916,121,10,0,0
